S.No. (क्र.सं.),Service ID (सेवा आईडी),Service Name (सेवा का नाम),Service Code (सेवा कोड),Category (श्रेणी),Subcategory (उपश्रेणी),Price (मूल्य - ₹),Warranty (वारंटी),Duration (अवधि),Description (विवरण)
1,ac-repair,AC Repair & Diagnostics,AC-REP,AC Services,Repair,299,30 Days Warranty,45 mins,"Expert diagnostics for AC cooling failure, compressor fault, capacitor replacement, PCB check, and cooling performance test."
2,ac-installation,AC Installation (Split),AC-INST,AC Services,Installation,1099,90 Days Warranty,1–2 hours,"Wall-mounting split AC indoor & outdoor units, bracket setup, copper piping insulation, drain ducting, and gas level check."
3,ac-uninstallation,AC Uninstallation,AC-UNINST,AC Services,Uninstallation,699,15 Days Warranty,1 hour,"Safe removal of split AC indoor and outdoor units, gas recovery, pipe capping, and dismounting of wall brackets."
4,ac-wet-clean,AC Jet Wash & Service,AC-WET,AC Services,Service,399,30 Days Warranty,40 mins,"Deep high-pressure water jet wash of AC coils, blower drum, filter mats, and outdoor cooling fins for maximum cooling."
5,ac-gas-refill,AC Gas Refill (R32/R22),AC-GAS,AC Services,Service,1499,60 Days Warranty,1–1.5 hours,"Leak detection with halogen sensor, gas refilling with R32 or R22 refrigerant, pressure balancing, and cooling test."
6,fan-basic-install,Basic Fan Installation,FAN-B-INST,Fan Services,Basic Fan,99,30 Days Warranty,30 mins,"Installing standard ceiling fan or exhaust fan, wiring connection, regulator fitting, and running balance check."
7,fan-basic-uninstall,Basic Fan Uninstallation,FAN-B-UNINST,Fan Services,Basic Fan,99,15 Days Warranty,20 mins,"Safe removal of ceiling or exhaust fan, wire capping, and canopy fitting to cover the outlet."
8,fan-basic-repair,Basic Fan Repair,FAN-B-REP,Fan Services,Basic Fan,149,30 Days Warranty,40 mins,"Diagnosing ceiling or exhaust fan speed issues, capacitor replacement, motor winding check, and noise elimination."
9,fan-bldc-install,BLDC Fan Installation,FAN-BLDC-INST,Fan Services,BLDC Fan,249,30 Days Warranty,40 mins,"Installing energy-saving BLDC smart fan with remote receiver wiring, remote pairing, and speed setting configuration."
10,fan-bldc-uninstall,BLDC Fan Uninstallation,FAN-BLDC-UNINST,Fan Services,BLDC Fan,149,15 Days Warranty,30 mins,"Safe removal of BLDC fan with receiver module, careful wire labeling, and canopy closure."
11,fan-bldc-service,BLDC Fan Service Charge,FAN-BLDC-SVC,Fan Services,BLDC Fan,199,30 Days Warranty,30 mins,"Cleaning BLDC fan blades, checking remote receiver module, inspecting motor bearings, and verifying all speed settings."
12,fan-fancy-install,Decorative Fan Installation,FAN-DEC-INST,Fan Services,Fancy / Decorative Fan,469,30 Days Warranty,1 hour,"Installing designer or decorative ceiling fans with wooden/acrylic blades, LED light kit wiring, and careful canopy fitting."
13,fan-fancy-uninstall,Decorative Fan Uninstallation,FAN-DEC-UNINST,Fan Services,Fancy / Decorative Fan,249,15 Days Warranty,40 mins,"Careful dismounting of decorative fan with blade protectors, LED module disconnect, and safe packing guidance."
14,fan-fancy-repair,Decorative Fan Repair,FAN-DEC-REP,Fan Services,Fancy / Decorative Fan,299,30 Days Warranty,45 mins,"Repairing speed issues, LED light flickering, blade wobble correction, capacitor check, and remote pairing for decorative fans."
15,light-bulb-install,Bulb Holder Installation,LGT-BH-INST,Light Services,Bulb Holder,49,15 Days Warranty,15 mins,"Installing ceiling rose bulb holder, connecting live/neutral/earth wires, and checking circuit for safe operation."
16,light-bulb-repair,Bulb Holder Repair,LGT-BH-REP,Light Services,Bulb Holder,69,15 Days Warranty,15 mins,"Fixing loose holder connections, burnt terminals, spark issues, and replacing faulty ceiling rose or batten holders."
17,light-tube-install,Tube Light / Batten Installation,LGT-TL-INST,Light Services,Tube Light,99,30 Days Warranty,20 mins,"Mounting LED tube batten on ceiling or wall, wiring connection, switch loop, and illumination check."
18,light-tube-repair,Tube Light Repair,LGT-TL-REP,Light Services,Tube Light,99,30 Days Warranty,20 mins,"Fixing flickering tube lights, replacing LED drivers, starter and choke replacement, and wiring checks."
19,light-tube-uninstall,Tube Light Uninstallation,LGT-TL-UNINST,Light Services,Tube Light,79,15 Days Warranty,15 mins,"Safe removal of tube light or batten fitting, wire capping, and ceiling clip removal without surface damage."
20,light-fancy-install,Fancy / Wall Light Installation,LGT-FL-INST,Light Services,Fancy Light,149,30 Days Warranty,30 mins,"Installing decorative wall sconces, fancy LED panels, and profile lights with wiring, switch connection, and leveling."
21,light-fancy-repair,Fancy Light Repair,LGT-FL-REP,Light Services,Fancy Light,149,30 Days Warranty,30 mins,"Diagnosing and repairing flickering fancy lights, LED strip driver replacement, loose connections, and dimmer faults."
22,light-ceiling-install,Ceiling / Panel Light Installation,LGT-CL-INST,Light Services,Ceiling Light,89,30 Days Warranty,25 mins,"Mounting round or square LED panel lights on false ceiling, POP surface, or gypsum, with wiring and dimmer setup."
23,light-chandelier-install,Chandelier / Hanging Light Installation,LGT-CH-INST,Light Services,Ceiling Light,499,30 Days Warranty,1–2 hours,"Safe hanging of heavy chandeliers with ceiling anchor bolt, earthing, canopy fitting, and all-bulb illumination test."
24,light-ceiling-repair,Ceiling Light Repair,LGT-CL-REP,Light Services,Ceiling Light,129,30 Days Warranty,25 mins,"Fixing non-working ceiling lights, LED driver change, wiring faults, and loose canopy or mount bracket tightening."
25,elec-switch-repair,Switch / Socket Repair & Replacement,ELE-SWT,Electrician Services,Switch & Socket,69,30 Days Warranty,20 mins,"Replacing modular switches, multi-pin sockets, indicator lights, plug tops, and modular grid box repairs."
26,elec-switchboard-repair,Switchboard Repair & Replacement,ELE-SBD,Electrician Services,Switch & Socket,99,30 Days Warranty,30 mins,"Repairing or replacing full modular switchboard panels, main board wiring, circuit tracing, and load balancing."
